Element,Nv,enMB,rsrp,enP,ElectrAff,Polariz,IP,RvdW,Rcov,g,p,z,mp,bp,STPDens,ThCond,ThElec,HeatSp,HeatV,HeatF,AtWght,MoHeatCap,MendN,ChemSc,Pm,MiedPh,Miednws3,MiedV
H,1,2.1,1.25,2.2,0.754195,0.666793,13.598443,1.1,0.32,1,1,1,14.01,20.28,0.0899,0.1805,,14300,0.452,0.558,1.008,28.836,103,5,103,5.2,1.5,1.42
Li,1,0.9,1.61,0.98,0.618049,24.33,5.391719,1.82,1.3,1,2,3,453.69,1615,535,85,11,3570,147,3,6.94,24.86,12,0.45,12,2.85,0.98,5.53
Be,2,1.45,1.08,1.57,-0.52,5.6,9.3227,1.53,0.99,2,2,4,1560,2743,1848,190,25,1820,297,7.95,9.0122,16.443,77,1.5,77,5.05,1.67,2.88
B,3,1.9,0.795,2.04,0.279723,3.03,8.29802,1.92,0.84,13,2,5,2348,4273,2460,27,1E-10,1030,507,50,10.81,11.087,86,2,86,5.3,1.75,2.8
C,4,2.37,0.64,2.55,1.2621226,1.67,11.2603,1.7,0.75,14,2,6,3823,4300,2260,140,0.1,710,715,105,12.011,8.517,95,2.5,87,6.24,1.77,2.2
N,5,2.85,0.54,3.04,-7.25E-05,1.1,14.5341,1.55,0.71,15,2,7,63.05,77.36,1.251,0.02583,,1040,2.79,0.36,14.007,29.124,100,3,88,6.86,1.65,2.56
O,6,3.32,0.465,3.44,1.4611136,0.802,13.61805,1.52,0.64,16,2,8,54.8,90.2,1.429,0.02658,,919,3.41,0.222,15.999,29.378,101,3.5,97,,,
F,7,3.78,0.405,3.98,3.4011898,0.557,17.4228,1.47,0.6,17,2,9,53.5,85.03,1.696,0.0277,,824,3.27,0.26,18.998,31.304,102,4,102,,,
Na,1,0.89,2.65,0.93,0.547926,24.11,5.139076,2.27,1.6,1,3,11,370.87,1156,968,140,21,1230,97.7,2.6,22.99,28.23,11,0.4,11,2.7,0.82,8.27
Mg,2,1.31,2.03,1.31,-0.415,10.6,7.646235,1.73,1.4,2,3,12,923,1363,1738,160,23,1020,128,8.7,24.305,24.869,73,1.28,73,3.45,1.17,5.81
Al,3,1.64,1.675,1.61,0.43283,6.8,5.985768,1.84,1.24,13,3,13,933.47,2792,2700,235,38,904,293,10.7,26.982,24.2,80,1.66,78,4.2,1.39,4.64
Si,4,1.98,1.42,1.9,1.3895212,5.53,8.15168,2.1,1.14,14,3,14,1687,3173,2330,150,0.001,710,359,50.2,28.085,19.99,85,1.94,85,4.7,1.5,4.2
P,5,2.32,1.24,2.19,0.746607,3.63,10.48669,1.8,1.09,15,3,15,317.3,553.6,1823,0.236,10,769.7,12.4,0.64,30.974,23.824,90,2.18,89,5.55,1.65,4.15
S,6,2.65,1.1,2.58,2.0771042,2.9,10.36001,1.8,1.04,16,3,16,388.36,717.87,1960,0.205,1E-21,705,9.8,1.73,32.06,22.7,94,2.44,96,,,
Cl,7,2.98,1.01,3.16,3.612724,2.18,12.96763,1.75,1,17,3,17,171.6,239.11,3.214,0.0089,1E-08,478.2,10.2,3.2,35.45,33.949,99,2.7,101,,,
K,1,0.8,3.69,0.82,0.501459,43.06,4.3406633,2.75,2,1,4,19,336.53,1032,856,100,14,757,76.9,2.33,39.098,29.6,10,0.35,10,2.25,0.65,12.77
Ca,2,1.17,3,1,0.02455,22.8,6.11316,2.31,1.74,2,4,20,1115,1757,1550,200,29,631,155,8.54,40.078,25.929,16,0.6,16,2.55,0.91,8.82
Sc,3,1.5,2.75,1.36,0.188,17.8,6.56149,2.15,1.59,3,4,21,1814,3103,2985,16,1.8,567,318,16,44.956,25.52,20,0.67,48,3.25,1.27,6.09
Ti,4,1.86,2.58,1.54,0.084,14.6,6.82812,2.11,1.48,4,4,22,1941,3560,4507,22,2.5,520,425,18.7,47.867,25.06,51,0.79,51,3.8,1.52,4.82
V,5,2.22,2.43,1.63,0.52766,12.4,6.74619,2.07,1.44,5,4,23,2183,3680,6110,31,5,489,453,22.8,50.942,24.89,54,0.84,54,4.25,1.64,4.12
Cr,6,2,2.44,1.66,0.67584,11.6,6.76651,2.06,1.3,6,4,24,2180,2944,7140,94,7.9,448,339,20.5,51.996,23.35,57,0.89,55,4.65,1.73,3.74
Mn,7,2.04,2.22,1.55,-0.52,9.4,7.43402,2.05,1.29,7,4,25,1519,2334,7470,7.8,0.62,479,220,13.2,54.938,26.32,60,0.945,72,4.45,1.61,3.78
Fe,8,1.67,2.11,1.83,0.153236,8.4,7.9024,2.04,1.24,8,4,26,1811,3134,7874,80,10,449,347,13.8,55.845,25.1,61,0.99,71,4.93,1.77,3.69
Co,9,1.72,2.02,1.88,0.66226,7.5,7.88101,2,1.18,9,4,27,1768,3200,8900,100,17,421,375,16.2,58.933,24.81,64,1.04,70,5.1,1.75,3.55
Ni,10,1.76,2.18,1.91,1.15716,6.8,7.6398,1.97,1.17,10,4,28,1728,3186,8908,91,14,445,378,17.2,58.693,26.07,67,1.09,69,5.2,1.75,3.52
Cu,11,1.08,2.04,1.9,1.23578,6.2,7.72638,1.96,1.22,11,4,29,1357.77,3200,8920,400,59,384.4,300,13.1,63.546,24.44,72,1.2,68,4.45,1.47,3.7
Zn,12,1.44,1.88,1.65,-0.62,5.75,9.394199,2.01,1.2,12,4,30,692.68,1180,7140,120,17,388,119,7.35,65.38,25.39,76,1.44,74,4.1,1.32,4.38
Ga,3,1.7,1.695,1.81,0.43,8.12,5.999301,1.87,1.23,13,4,31,302.91,2477,5904,29,7.1,371,256,5.59,69.723,26.03,81,1.68,79,4.1,1.31,5.19
Ge,4,1.99,1.56,2.01,1.2326764,5.84,7.89943,2.11,1.2,14,4,32,1211.4,3093,5323,60,0.002,321.4,334,31.8,72.63,23.222,84,1.9,84,4.55,1.37,4.6
As,5,2.27,1.415,2.18,0.8048,4.31,9.7886,1.85,1.2,15,4,33,1090,887,5727,50,3.3,328,32.4,27.7,74.922,24.64,89,2.16,90,4.8,1.44,5.2
Se,6,2.54,1.285,2.55,2.0206047,3.77,9.75239,1.9,1.18,16,4,34,494,958,4819,0.52,1.00E-10,321.2,26,5.4,78.971,25.363,93,2.4,95,,,
Br,7,2.83,1.2,2.96,3.363588,3.05,11.8138,1.85,1.17,17,4,35,265.8,332,3120,0.12,1E-16,947.3,14.8,5.8,79.904,75.69,98,2.64,100,,,
Rb,1,0.8,4.1,0.82,0.485916,47.24,4.177128,3.03,2.15,1,5,37,312.46,961,1532,58,8.3,364,72,2.19,85.468,31.06,9,0.3,9,2.1,0.6,14.65
Sr,2,1.13,3.21,0.95,0.05206,27.6,5.69485,2.49,1.9,2,5,38,1050,1655,2630,35,7.7,300,137,8,87.62,26.79,15,0.55,15,2.4,0.84,10.48
Y,3,1.41,2.94,1.22,0.307,22.7,6.2173,2.32,1.76,3,5,39,1799,3618,4472,17,1.8,298,380,11.4,88.906,26.53,25,0.685,21,3.2,1.21,7.34
Zr,4,1.7,2.825,1.33,0.4333,17.9,6.6339,2.23,1.64,4,5,40,2128,4682,6511,23,2.4,278,580,21,91.224,25.36,49,0.76,49,3.45,1.41,5.81
Nb,5,2.03,2.76,1.6,0.9174,15.7,6.75885,2.18,1.56,5,5,41,2750,5017,8570,54,6.7,265,690,26.8,92.906,24.6,52,0.82,53,4.05,1.64,4.89
Mo,6,1.94,2.72,2.16,0.7473,12.8,7.09243,2.17,1.46,6,5,42,2896,4912,10280,139,20,251,600,36,95.95,24.06,55,0.88,56,4.65,1.77,4.45
Tc,7,2.18,2.65,1.9,0.55,11.4,7.28,2.16,1.38,7,5,43,2430,4538,11500,51,5,63,550,23,98,,58,0.935,59,5.3,1.81,4.21
Ru,8,1.97,2.605,2.2,1.04638,9.6,7.3605,2.13,1.36,8,5,44,2607,4423,12370,120,14,238,580,25.7,101.07,24.06,63,1,61,5.4,1.83,4.06
Rh,9,1.99,2.52,2.28,1.14289,8.6,7.4589,2.1,1.34,9,5,45,2237,3968,12450,150,23,240,495,21.7,102.91,24.98,66,1.06,63,5.4,1.76,4.1
Pd,10,2.08,2.45,2.2,0.56214,4.8,8.3369,2.1,1.3,10,5,46,1828.05,3236,12023,72,10,240,380,16.7,106.42,25.98,69,1.12,65,5.45,1.67,4.29
Ag,11,1.07,2.375,1.93,1.30447,6.78,7.57623,2.11,1.36,11,5,47,1234.93,2435,10490,430,62,235,255,11.3,107.87,25.35,71,1.18,67,4.35,1.36,4.72
Cd,12,1.4,2.215,1.69,-0.725,7.36,8.99382,2.18,1.4,12,5,48,594.22,1040,8650,97,14,230,100,6.3,112.41,26.02,75,1.36,75,4.05,1.24,5.53
In,3,1.63,2.05,1.78,0.3,10.2,5.78636,1.93,1.42,13,5,49,429.75,2345,7310,82,12,233,230,3.26,114.82,26.74,79,1.6,80,3.9,1.17,6.28
Sn,4,1.88,1.88,1.96,1.11207,6.28,7.34392,2.17,1.4,14,5,50,505.08,2875,7310,67,9.1,217,290,7,118.71,26.99,83,1.84,83,4.15,1.24,6.43
Sb,5,2.14,1.765,2.05,1.047401,6.6,8.60839,2.06,1.4,15,5,51,903.78,1860,6697,24,2.5,207,68,19.7,121.76,25.23,88,2.08,91,4.4,1.26,6.6
Te,6,2.38,1.67,2.1,1.970875,5.5,9.0096,2.06,1.37,16,5,52,722.66,1261,6240,3,0.01,201,48,17.5,127.6,25.73,92,2.32,94,,,
I,7,2.76,1.585,2.66,3.0590465,5.35,10.45126,1.98,1.36,17,5,53,386.85,457.4,4940,0.449,1E-13,429,20.9,7.76,126.9,54.43,97,2.56,99,,,
